,game_id,game_title,video_name,yt_views,yt_likes,yt_comments,yt_thumbnail,video_url,pub_date
211,113491250,phantom forces,Roblox How To Code - How To Script On Roblox - Episode 1,912807,22878,5445,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
254,228573408,super hero tycoon,Roblox How To Code - How To Script On Roblox - Episode 1,912807,22878,5445,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
357,123765998,[parkour],Roblox How To Code - How To Script On Roblox - Episode 1,912807,22878,5445,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
280,1452258989,[free admin],Roblox How To Code - How To Script On Roblox - Episode 1,912807,22878,5445,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
77,1852226622,gacha online| custom oc rp⭐ (roleplay),Roblox How To Code - How To Script On Roblox - Episode 1,912807,22878,5445,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
149,1268927906,  muscle legends,Roblox How To Code - How To Script On Roblox - Episode 1,912807,22878,5445,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
363,985731078,world // zero,Roblox How To Code - How To Script On Roblox - Episode 1,912807,22878,5445,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
73,210851291,build a boat for treasure,Roblox How To Code - How To Script On Roblox - Episode 1,912807,22878,5445,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
273,97314177,[ramen guy] ninja tycoon (v3.6),Roblox How To Code - How To Script On Roblox - Episode 1,912807,22878,5445,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
153,1261193936,mega easy obby   650 stages!,Roblox How To Code - How To Script On Roblox - Episode 1,912807,22878,5445,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
